Rank,Title,Year,Rating
1,1. The Shawshank Redemption, (3.1M),9.3
2,2. The Godfather, (2.2M),9.2
3,3. The Dark Knight, (3.1M),9.1
4,4. The Godfather Part II, (1.5M),9.0
5,5. 12 Angry Men, (958K),9.0
6,6. The Lord of the Rings: The Return of the King, (2.1M),9.0
7,7. Schindler's List, (1.6M),9.0
8,8. The Lord of the Rings: The Fellowship of the Ring, (2.2M),8.9
9,9. Pulp Fiction, (2.4M),8.8
10,"10. The Good, the Bad and the Ugly", (875K),8.8
11,11. The Lord of the Rings: The Two Towers, (1.9M),8.8
12,12. Forrest Gump, (2.4M),8.8
13,13. Fight Club, (2.5M),8.8
14,14. Inception, (2.8M),8.8
15,15. Star Wars: Episode V - The Empire Strikes Back, (1.5M),8.7
16,16. The Matrix, (2.2M),8.7
17,17. Goodfellas, (1.4M),8.7
18,18. Interstellar, (2.4M),8.7
19,19. One Flew Over the Cuckoo's Nest, (1.1M),8.6
20,20. Se7en, (2M),8.6
21,21. It's a Wonderful Life, (539K),8.6
22,22. The Silence of the Lambs, (1.7M),8.6
23,23. Seven Samurai, (395K),8.6
24,24. Saving Private Ryan, (1.6M),8.6
25,25. The Green Mile, (1.5M),8.6
26,26. City of God, (856K),8.6
27,27. Life Is Beautiful, (797K),8.6
28,28. Terminator 2: Judgment Day, (1.3M),8.6
29,29. Star Wars: Episode IV - A New Hope, (1.5M),8.6
30,30. Back to the Future, (1.4M),8.5
31,31. Spirited Away, (941K),8.6
32,32. The Pianist, (992K),8.5
33,33. Gladiator, (1.8M),8.5
34,34. Parasite, (1.1M),8.5
35,35. Psycho, (772K),8.5
36,36. Grave of the Fireflies, (369K),8.5
37,37. The Lion King, (1.2M),8.5
38,38. Harakiri, (86K),8.6
39,39. The Departed, (1.5M),8.5
40,40. Whiplash, (1.1M),8.5
41,41. The Prestige, (1.6M),8.5
42,42. American History X, (1.3M),8.5
43,43. Léon: The Professional, (1.3M),8.5
44,44. Spider-Man: Across the Spider-Verse, (492K),8.5
45,45. Cinema Paradiso, (311K),8.5
46,46. Casablanca, (645K),8.5
47,47. The Intouchables, (1M),8.5
48,48. The Usual Suspects, (1.2M),8.5
49,49. Alien, (1M),8.5
50,50. Modern Times, (280K),8.5
51,51. Rear Window, (560K),8.5
52,52. Django Unchained, (1.8M),8.5
53,53. Once Upon a Time in the West, (378K),8.5
54,54. City Lights, (212K),8.5
55,55. Apocalypse Now, (758K),8.4
56,56. WALL·E, (1.3M),8.4
57,57. Memento, (1.4M),8.4
58,58. Dune: Part Two, (682K),8.4
59,59. Raiders of the Lost Ark, (1.1M),8.4
60,60. Avengers: Infinity War, (1.3M),8.4
61,61. The Lives of Others, (436K),8.4
62,62. Spider-Man: Into the Spider-Verse, (761K),8.4
63,63. Sunset Boulevard, (256K),8.4
64,64. Witness for the Prosecution, (157K),8.4
65,65. Paths of Glory, (234K),8.4
66,66. The Shining, (1.2M),8.4
67,67. The Great Dictator, (255K),8.4
68,68. Inglourious Basterds, (1.7M),8.4
69,69. Aliens, (827K),8.4
70,70. 12th Fail, (162K),8.7
71,71. High and Low, (67K),8.4
72,72. The Dark Knight Rises, (2M),8.4
73,73. Coco, (680K),8.4
74,74. Avengers: Endgame, (1.4M),8.4
75,75. Amadeus, (459K),8.4
76,76. Good Will Hunting, (1.2M),8.3
77,77. Toy Story, (1.1M),8.3
78,78. Your Name., (376K),8.4
79,79. Das Boot, (284K),8.4
80,80. Oldboy, (700K),8.3
81,81. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, (546K),8.3
82,82. Braveheart, (1.1M),8.3
83,83. Princess Mononoke, (473K),8.3
84,84. American Beauty, (1.3M),8.3
85,85. 3 Idiots, (472K),8.4
86,86. Capernaum, (121K),8.4
87,87. Joker, (1.7M),8.3
88,88. Once Upon a Time in America, (403K),8.3
89,89. Singin' in the Rain, (278K),8.3
90,90. Come and See, (118K),8.3
91,91. Requiem for a Dream, (958K),8.3
92,92. Star Wars: Episode VI - Return of the Jedi, (1.2M),8.3
93,93. Toy Story 3, (951K),8.3
94,94. The Hunt, (399K),8.3
95,95. Ikiru, (100K),8.3
